evaluation_scope,dataset,model,structure_class,annotation_id,annotation_class,nearest_predictions,aligned_predictions,best_prediction_id,best_match_cost,best_angle_error_deg,best_offset_error_m,best_segment_gap_m,best_overlap_ratio,best_xy_error_m,source_file,source_dataset
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,wall_06,wall,1,0,y:10,6.334190,14.290467,1.153136,0.665041,0.000000,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,wall_07,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,boundary_01,wall_like_boundary,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,boundary_06,wall_like_boundary,2,2,y:16,0.698279,0.306794,0.263972,0.000000,0.999986,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,boundary_08,wall_like_boundary,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,boundary_12,wall_like_boundary,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,pipe,pipe_01,pipe,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,pipe,pipe_02,pipe,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_01,wall,4,3,24,0.051498,0.318039,0.004697,0.000000,0.991745,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure_solid_wall_only.csv,teste_percepcion_5_0
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_02,wall,1,0,38,16.636429,43.056684,3.475005,1.566830,0.000000,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure_solid_wall_only.csv,teste_percepcion_5_0
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_03,wall,3,0,18,1.517472,1.957306,0.146719,0.000000,0.023497,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure_solid_wall_only.csv,teste_percepcion_5_0
